File_Name                                     Line_Count  Decompressed_Size  Compressed_Size
XAGUSD_tick_UTC+0_00_2017-Parse.csv.zst       3979785     218M               32M
XAGUSD_tick_UTC+0_00_2008-Parse.csv.zst       2690357     150M               23M
XAGUSD_tick_UTC+0_00_2007-Parse.csv.zst       2228363     131M               19M
XAGUSD_tick_UTC+0_00_2009-Parse.csv.zst       3029252     173M               26M
XAGUSD_tick_UTC+0_00_2015-Parse.csv.zst       6812255     386M               48M
XAGUSD_tick_UTC+0_00_2012-Parse.csv.zst       9891642     560M               71M
XAGUSD_tick_UTC+0_00_2019-Parse.csv.zst       7592167     425M               60M
XAGUSD_tick_UTC+0_00_2010-Parse.csv.zst       3058836     170M               26M
XAGUSD_tick_UTC+0_00_2018-Parse.csv.zst       4205107     237M               33M
XAGUSD_tick_UTC+0_00_2011-Parse.csv.zst       11356627    636M               77M
BRENTCMDUSD_tick_UTC+0_00_2013-Parse.csv.zst  5030991     270M               28M
BRENTCMDUSD_tick_UTC+0_00_2014-Parse.csv.zst  4096551     234M               32M
BRENTCMDUSD_tick_UTC+0_00_2017-Parse.csv.zst  6262688     307M               33M
BRENTCMDUSD_tick_UTC+0_00_2016-Parse.csv.zst  5518749     295M               39M
BRENTCMDUSD_tick_UTC+0_00_2018-Parse.csv.zst  5403010     276M               31M
BRENTCMDUSD_tick_UTC+0_00_2015-Parse.csv.zst  6630620     369M               50M
BRENTCMDUSD_tick_UTC+0_00_2019-Parse.csv.zst  7737232     414M               45M
GBPUSD_tick_UTC+0_00_2006-Parse.csv.zst       4413127     263M               45M
GBPUSD_tick_UTC+0_00_2017-Parse.csv.zst       22700909    1.3G               180M
GBPUSD_tick_UTC+0_00_2007-Parse.csv.zst       24836062    1.3G               164M
GBPUSD_tick_UTC+0_00_2013-Parse.csv.zst       17799128    1007M              139M
GBPUSD_tick_UTC+0_00_2018-Parse.csv.zst       21495222    1.2G               174M
GBPUSD_tick_UTC+0_00_2016-Parse.csv.zst       37669847    2.1G               280M
GBPUSD_tick_UTC+0_00_2010-Parse.csv.zst       18955100    977M               136M
GBPUSD_tick_UTC+0_00_2005-Parse.csv.zst       4483870     268M               46M
GBPUSD_tick_UTC+0_00_2008-Parse.csv.zst       33300876    1.7G               193M
GBPUSD_tick_UTC+0_00_2011-Parse.csv.zst       24865615    1.4G               183M
GBPUSD_tick_UTC+0_00_2019-Parse.csv.zst       30615059    1.7G               229M
GBPUSD_tick_UTC+0_00_2014-Parse.csv.zst       16564020    977M               137M
GBPUSD_tick_UTC+0_00_2009-Parse.csv.zst       19670777    1004M              140M
GBPUSD_tick_UTC+0_00_2004-Parse.csv.zst       4861096     292M               51M
GBPUSD_tick_UTC+0_00_2012-Parse.csv.zst       18897756    1.1G               146M
GBPUSD_tick_UTC+0_00_2015-Parse.csv.zst       23595634    1.4G               191M
USDCAD_tick_UTC+0_00_2008-Parse.csv.zst       20644593    1.1G               104M
USDCAD_tick_UTC+0_00_2010-Parse.csv.zst       13927122    718M               99M
USDCAD_tick_UTC+0_00_2014-Parse.csv.zst       10310487    582M               85M
USDCAD_tick_UTC+0_00_2004-Parse.csv.zst       3764997     213M               39M
USDCAD_tick_UTC+0_00_2009-Parse.csv.zst       12148990    620M               87M
USDCAD_tick_UTC+0_00_2019-Parse.csv.zst       21100139    1.2G               151M
USDCAD_tick_UTC+0_00_2011-Parse.csv.zst       15222267    902M               120M
USDCAD_tick_UTC+0_00_2016-Parse.csv.zst       40372741    2.3G               294M
USDCAD_tick_UTC+0_00_2007-Parse.csv.zst       15651367    804M               100M
USDCAD_tick_UTC+0_00_2006-Parse.csv.zst       3232187     181M               33M
USDCAD_tick_UTC+0_00_2018-Parse.csv.zst       16718601    941M               130M
USDCAD_tick_UTC+0_00_2012-Parse.csv.zst       15884906    935M               119M
USDCAD_tick_UTC+0_00_2017-Parse.csv.zst       20766801    1.2G               160M
USDCAD_tick_UTC+0_00_2013-Parse.csv.zst       9381941     535M               75M
USDCAD_tick_UTC+0_00_2005-Parse.csv.zst       3351916     188M               34M
USDCAD_tick_UTC+0_00_2015-Parse.csv.zst       18549747    1.1G               149M
USDJPY_tick_UTC+0_00_2018-Parse.csv.zst       16203405    956M               137M
USDJPY_tick_UTC+0_00_2011-Parse.csv.zst       11975760    652M               95M
USDJPY_tick_UTC+0_00_2016-Parse.csv.zst       38108298    2.2G               295M
USDJPY_tick_UTC+0_00_2014-Parse.csv.zst       15406959    901M               121M
USDJPY_tick_UTC+0_00_2008-Parse.csv.zst       37330646    1.9G               210M
USDJPY_tick_UTC+0_00_2010-Parse.csv.zst       15660976    775M               112M
USDJPY_tick_UTC+0_00_2017-Parse.csv.zst       21816953    1.3G               184M
USDJPY_tick_UTC+0_00_2005-Parse.csv.zst       5345566     314M               55M
USDJPY_tick_UTC+0_00_2009-Parse.csv.zst       17410860    854M               123M
USDJPY_tick_UTC+0_00_2006-Parse.csv.zst       5257600     309M               54M
USDJPY_tick_UTC+0_00_2012-Parse.csv.zst       10653861    578M               83M
USDJPY_tick_UTC+0_00_2013-Parse.csv.zst       18746246    1.1G               152M
USDJPY_tick_UTC+0_00_2019-Parse.csv.zst       20851845    1.3G               170M
USDJPY_tick_UTC+0_00_2004-Parse.csv.zst       5436539     320M               56M
USDJPY_tick_UTC+0_00_2015-Parse.csv.zst       20186370    1.2G               160M
USDJPY_tick_UTC+0_00_2007-Parse.csv.zst       28839618    1.5G               185M
NZDUSD_tick_UTC+0_00_2014-Parse.csv.zst       13322208    784M               102M
NZDUSD_tick_UTC+0_00_2018-Parse.csv.zst       12390403    699M               97M
NZDUSD_tick_UTC+0_00_2019-Parse.csv.zst       14438382    815M               108M
NZDUSD_tick_UTC+0_00_2011-Parse.csv.zst       13442559    777M               103M
NZDUSD_tick_UTC+0_00_2012-Parse.csv.zst       16772475    970M               124M
NZDUSD_tick_UTC+0_00_2009-Parse.csv.zst       8350007     427M               61M
NZDUSD_tick_UTC+0_00_2010-Parse.csv.zst       9983706     518M               71M
NZDUSD_tick_UTC+0_00_2016-Parse.csv.zst       22851476    1.3G               159M
NZDUSD_tick_UTC+0_00_2017-Parse.csv.zst       15871905    890M               117M
NZDUSD_tick_UTC+0_00_2004-Parse.csv.zst       2974848     169M               31M
NZDUSD_tick_UTC+0_00_2008-Parse.csv.zst       19759686    1011M              102M
NZDUSD_tick_UTC+0_00_2013-Parse.csv.zst       13252368    779M               101M
NZDUSD_tick_UTC+0_00_2005-Parse.csv.zst       3308071     187M               34M
NZDUSD_tick_UTC+0_00_2007-Parse.csv.zst       14803683    763M               95M
NZDUSD_tick_UTC+0_00_2006-Parse.csv.zst       2871298     160M               29M
NZDUSD_tick_UTC+0_00_2015-Parse.csv.zst       16107314    906M               122M
EURUSD_tick_UTC+0_00_2010-Parse.csv.zst       8270543     460M               77M
EURUSD_tick_UTC+0_00_2006-Parse.csv.zst       13980850    792M               135M
EURUSD_tick_UTC+0_00_2018-Parse.csv.zst       21532251    1.2G               188M
EURUSD_tick_UTC+0_00_2016-Parse.csv.zst       44827522    2.5G               328M
EURUSD_tick_UTC+0_00_2007-Parse.csv.zst       19166446    1.1G               172M
EURUSD_tick_UTC+0_00_2017-Parse.csv.zst       21704042    1.2G               185M
EURUSD_tick_UTC+0_00_2009-Parse.csv.zst       14159451    747M               115M
EURUSD_tick_UTC+0_00_2013-Parse.csv.zst       18623746    1.1G               159M
EURUSD_tick_UTC+0_00_2008-Parse.csv.zst       28708914    1.6G               251M
EURUSD_tick_UTC+0_00_2011-Parse.csv.zst       25793802    1.5G               211M
EURUSD_tick_UTC+0_00_2012-Parse.csv.zst       23415313    1.3G               190M
EURUSD_tick_UTC+0_00_2005-Parse.csv.zst       10648340    604M               105M
EURUSD_tick_UTC+0_00_2004-Parse.csv.zst       10862067    616M               108M
EURUSD_tick_UTC+0_00_2019-Parse.csv.zst       29186311    1.7G               239M
EURUSD_tick_UTC+0_00_2015-Parse.csv.zst       24232002    1.4G               197M
EURUSD_tick_UTC+0_00_2014-Parse.csv.zst       17004494    959M               138M
AUDUSD_tick_UTC+0_00_2008-Parse.csv.zst       8750757     504M               79M
AUDUSD_tick_UTC+0_00_2004-Parse.csv.zst       15145600    857M               145M
AUDUSD_tick_UTC+0_00_2011-Parse.csv.zst       21381808    1.2G               168M
AUDUSD_tick_UTC+0_00_2017-Parse.csv.zst       16754916    944M               133M
AUDUSD_tick_UTC+0_00_2012-Parse.csv.zst       19340185    1.1G               148M
AUDUSD_tick_UTC+0_00_2010-Parse.csv.zst       14082448    850M               129M
AUDUSD_tick_UTC+0_00_2005-Parse.csv.zst       9335370     541M               102M
AUDUSD_tick_UTC+0_00_2016-Parse.csv.zst       33937701    1.9G               244M
AUDUSD_tick_UTC+0_00_2013-Parse.csv.zst       16156065    964M               125M
AUDUSD_tick_UTC+0_00_2018-Parse.csv.zst       13635849    773M               114M
AUDUSD_tick_UTC+0_00_2015-Parse.csv.zst       19081084    1.1G               150M
AUDUSD_tick_UTC+0_00_2014-Parse.csv.zst       14281560    863M               112M
AUDUSD_tick_UTC+0_00_2019-Parse.csv.zst       15823257    898M               124M
AUDUSD_tick_UTC+0_00_2009-Parse.csv.zst       11664969    660M               105M
AUDUSD_tick_UTC+0_00_2007-Parse.csv.zst       11586909    666M               102M
AUDUSD_tick_UTC+0_00_2006-Parse.csv.zst       14202674    815M               143M
USDCHF_tick_UTC+0_00_2017-Parse.csv.zst       15923818    950M               130M
USDCHF_tick_UTC+0_00_2012-Parse.csv.zst       18895541    1.2G               145M
USDCHF_tick_UTC+0_00_2006-Parse.csv.zst       4693422     265M               48M
USDCHF_tick_UTC+0_00_2016-Parse.csv.zst       25130288    1.5G               183M
USDCHF_tick_UTC+0_00_2008-Parse.csv.zst       32467249    1.7G               179M
USDCHF_tick_UTC+0_00_2007-Parse.csv.zst       24064317    1.3G               155M
USDCHF_tick_UTC+0_00_2010-Parse.csv.zst       16742418    873M               121M
USDCHF_tick_UTC+0_00_2009-Parse.csv.zst       17997567    919M               127M
USDCHF_tick_UTC+0_00_2004-Parse.csv.zst       4871356     275M               50M
USDCHF_tick_UTC+0_00_2013-Parse.csv.zst       15571977    946M               123M
USDCHF_tick_UTC+0_00_2018-Parse.csv.zst       12927380    783M               107M
USDCHF_tick_UTC+0_00_2015-Parse.csv.zst       15884020    952M               122M
USDCHF_tick_UTC+0_00_2014-Parse.csv.zst       13374218    813M               107M
USDCHF_tick_UTC+0_00_2011-Parse.csv.zst       19828452    1.2G               150M
USDCHF_tick_UTC+0_00_2005-Parse.csv.zst       4770542     270M               49M
USDCHF_tick_UTC+0_00_2019-Parse.csv.zst       15145784    909M               117M
